174901  1749.049    58.0  
174902  1749.129    62.6  
174903  1749.210    70.0  
174904  1749.294    55.7  
174905  1749.377    85.0  
174906  1749.461    83.5  
174907  1749.544    94.8    81.6  
174908  1749.629    66.3    82.8  
174909  1749.713    75.9    84.1  
174910  1749.796    75.5    86.3  
174911  1749.880   158.6    87.8  
174912  1749.963    85.2    88.7  
175001  1750.048    73.3    89.0  
175002  1750.129    75.9    90.2  
175003  1750.209    89.2    92.3  
175004  1750.293    88.3    92.6  
175005  1750.376    90.0    88.2  
175006  1750.460   100.0    83.8  
175007  1750.543    85.4    83.3  
175008  1750.628   103.0    81.8  
175009  1750.712    91.2    78.6  
175010  1750.795    65.7    75.4  
175011  1750.879    63.3    72.9  
175012  1750.962    75.4    69.6  
175101  1751.047    70.0    66.8  
175102  1751.128    43.5    64.2  
175103  1751.209    45.3    59.5  
175104  1751.292    56.4    54.9  
175105  1751.376    60.7    51.7  
175106  1751.459    50.7    49.0  
175107  1751.543    66.3    46.2  
175108  1751.628    59.8    45.0  
175109  1751.711    23.5    46.4  
175110  1751.795    23.2    47.5  
175111  1751.878    28.5    47.6  
175112  1751.962    44.0    47.1  
175201  1752.047    35.0    47.2  
175202  1752.129    50.0    46.4  
175203  1752.211    71.0    45.3  
175204  1752.294    59.3    46.4  
175205  1752.378    59.7    47.8  
175206  1752.461    39.6    48.0  
175207  1752.545    78.4    48.2  
175208  1752.630    29.3    47.8  
175209  1752.713    27.1    46.0  
175210  1752.797    46.6    44.1  
175211  1752.880    37.6    42.2  
175212  1752.964    40.0    40.9  
175301  1753.049    44.0    38.2  
175302  1753.129    32.0    36.2  
175303  1753.210    45.7    36.7  
175304  1753.294    38.0    35.8  
175305  1753.377    36.0    34.2  
175306  1753.461    31.7    32.1  
175307  1753.544    22.0    28.8  
175308  1753.629    39.0    25.8  
175309  1753.713    28.0    22.8  
175310  1753.796    25.0    19.9  
175311  1753.880    20.0    18.3  
175312  1753.963     6.7    17.4  
175401  1754.048     0.0    17.1  
175402  1754.129     3.0    15.8  
175403  1754.209     1.7    13.9  
175404  1754.293    13.7    13.0  
175405  1754.376    20.7    12.7  
175406  1754.460    26.7    12.3  
175407  1754.543    18.8    12.6  
175408  1754.628    12.3    13.4  
175409  1754.712     8.2    14.0  
175410  1754.795    24.1    13.9  
175411  1754.879    13.2    12.7  
175412  1754.962     4.2    10.7  
175501  1755.047    10.2     9.2  
175502  1755.128    11.2     8.4  
175503  1755.209     6.8     8.4  
175504  1755.292     6.5     8.8  
175505  1755.376     0.0     8.5  
175506  1755.459     0.0     8.9  
175507  1755.543     8.6     9.7  
175508  1755.628     3.2     9.6  
175509  1755.711    17.8     9.4  
175510  1755.795    23.7     9.4  
175511  1755.878     6.8    10.1  
175512  1755.962    20.0    11.1  
175601  1756.047    12.5    11.5  
175602  1756.129     7.1    11.4  
175603  1756.211     5.4    11.3  
175604  1756.294     9.4    10.6  
175605  1756.378    12.5    10.7  
175606  1756.461    12.9    10.6  
175607  1756.545     3.6    10.3  
175608  1756.630     6.4    10.9  
175609  1756.713    11.8    12.4  
175610  1756.797    14.3    14.1  
175611  1756.880    17.0    16.0  
175612  1756.964     9.4    17.1  
175701  1757.049    14.1    18.0  
175702  1757.129    21.2    20.7  
175703  1757.210    26.2    23.8  
175704  1757.294    30.0    25.7  
175705  1757.377    38.1    28.4  
175706  1757.461    12.8    31.4  
175707  1757.544    25.0    33.4  
175708  1757.629    51.3    35.7  
175709  1757.713    39.7    37.9  
175710  1757.796    32.5    40.6  
175711  1757.880    64.7    42.7  
175712  1757.963    33.5    44.4  
175801  1758.048    37.6    46.5  
175802  1758.129    52.0    46.8  
175803  1758.209    49.0    47.2  
175804  1758.293    72.3    48.4  
175805  1758.376    46.4    47.7  
175806  1758.460    45.0    47.2  
175807  1758.543    44.0    48.0  
175808  1758.628    38.7    48.2  
175809  1758.712    62.5    47.7  
175810  1758.795    37.7    46.6  
175811  1758.879    43.0    45.6  
175812  1758.962    43.0    46.0  
175901  1759.047    48.3    46.5  
175902  1759.128    44.0    48.1  
175903  1759.209    46.8    50.1  
175904  1759.292    47.0    51.6  
175905  1759.376    49.0    52.7  
175906  1759.459    50.0    53.4  
175907  1759.543    51.0    54.8  
175908  1759.628    71.3    56.2  
175909  1759.711    77.2    58.0  
175910  1759.795    59.7    59.6  
175911  1759.878    46.3    61.1  
175912  1759.962    57.0    62.0  
176001  1760.047    67.3    62.5  
176002  1760.129    59.5    63.3  
176003  1760.211    74.7    62.8  
176004  1760.294    58.3    61.8  
176005  1760.378    72.0    62.0  
176006  1760.461    48.3    62.7  
176007  1760.545    66.0    63.0  
176008  1760.630    75.6    64.4  
176009  1760.713    61.3    66.0  
176010  1760.797    50.6    66.8  
176011  1760.880    59.7    68.8  
176012  1760.964    61.0    72.4  
176101  1761.049    70.0    75.7  
176102  1761.129    91.0    77.5  
176103  1761.210    80.7    79.8  
176104  1761.294    71.7    83.0  
176105  1761.377   107.2    85.9  
176106  1761.461    99.3    86.5  
176107  1761.544    94.1    84.8  
176108  1761.629    91.1    82.9  
176109  1761.713   100.7    80.7  
176110  1761.796    88.7    78.8  
176111  1761.880    89.7    75.5  
176112  1761.963    46.0    71.7  
176201  1762.048    43.8    68.3  
176202  1762.129    72.8    64.8  
176203  1762.209    45.7    62.5  
176204  1762.293    60.2    60.4  
176205  1762.376    39.9    59.0  
176206  1762.460    77.1    59.8  
176207  1762.543    33.8    61.7  
176208  1762.628    67.7    60.5  
176209  1762.712    68.5    58.3  
176210  1762.795    69.3    56.7  
176211  1762.879    77.8    55.3  
176212  1762.962    77.2    53.2  
176301  1763.047    56.5    52.4  
176302  1763.128    31.9    51.5  
176303  1763.209    34.2    49.8  
176304  1763.292    32.9    48.8  
176305  1763.376    32.7    47.1  
176306  1763.459    35.8    45.8  
176307  1763.543    54.2    45.3  
176308  1763.628    26.5    46.5  
176309  1763.711    68.1    47.9  
176310  1763.795    46.3    48.3  
176311  1763.878    60.9    48.8  
176312  1763.962    61.4    49.1  
176401  1764.047    59.7    47.8  
176402  1764.129    59.7    46.9  
176403  1764.211    40.2    45.4  
176404  1764.294    34.4    43.0  
176405  1764.378    44.3    40.8  
176406  1764.461    30.0    37.8  
176407  1764.545    30.0    34.9  
176408  1764.630    30.0    32.0  
176409  1764.713    28.2    29.9  
176410  1764.797    28.0    28.8  
176411  1764.880    26.0    27.3  
176412  1764.964    25.7    25.8  
176501  1765.049    24.0    25.3  
176502  1765.129    26.0    25.2  
176503  1765.210    25.0    24.6  
176504  1765.294    22.0    23.6  
176505  1765.377    20.2    22.5  
176506  1765.461    20.0    21.4  
176507  1765.544    27.0    20.4  
176508  1765.629    29.7    19.3  
176509  1765.713    16.0    19.1  
176510  1765.796    14.0    19.0  
176511  1765.880    14.0    18.6  
176512  1765.963    13.0    18.1  
176601  1766.048    12.0    16.4  
176602  1766.129    11.0    14.4  
176603  1766.209    36.6    12.8  
176604  1766.293     6.0    12.0  
176605  1766.376    26.8    11.2  
176606  1766.460     3.0    11.2  
176607  1766.543     3.3    12.1  
176608  1766.628     4.0    13.5  
176609  1766.712     4.3    14.5  
176610  1766.795     5.0    15.9  
176611  1766.879     5.7    17.2  
176612  1766.962    19.2    18.6  
176701  1767.047    27.4    20.6  
176702  1767.128    30.0    22.9  
176703  1767.209    43.0    26.0  
176704  1767.292    32.9    29.3  
176705  1767.376    29.8    32.9  
176706  1767.459    33.3    36.4  
176707  1767.543    21.9    38.9  
176708  1767.628    40.8    41.5  
176709  1767.711    42.7    43.1  
176710  1767.795    44.1    43.7  
176711  1767.878    54.7    46.1  
176712  1767.962    53.3    49.9  
176801  1768.047    53.5    53.0  
176802  1768.129    66.1    55.4  
176803  1768.211    46.3    57.8  
176804  1768.294    42.7    60.6  
176805  1768.378    77.7    63.5  
176806  1768.461    77.4    67.4  
176807  1768.545    52.6    70.7  
176808  1768.630    66.8    71.5  
176809  1768.713    74.8    72.1  
176810  1768.797    77.8    75.1  
176811  1768.880    90.6    77.2  
176812  1768.964   111.8    77.8  
176901  1769.049    73.9    81.2  
176902  1769.129    64.2    86.2  
176903  1769.210    64.3    91.5  
176904  1769.294    96.7    97.9  
176905  1769.377    73.6   103.7  
176906  1769.461    94.4   106.1  
176907  1769.544   118.6   107.3  
176908  1769.629   120.3   111.9  
176909  1769.713   148.8   115.8  
176910  1769.796   158.2   114.5  
176911  1769.880   148.1   112.5  
176912  1769.963   112.0   111.9  
177001  1770.048   104.0   111.1  
177002  1770.129   142.5   110.9  
177003  1770.209    80.1   109.3  
177004  1770.293    51.0   105.2  
177005  1770.376    70.1   102.3  
177006  1770.460    83.3   101.2  
177007  1770.543   109.8    98.0  
177008  1770.628   126.3    91.1  
177009  1770.712   104.4    85.7  
177010  1770.795   103.6    84.9  
177011  1770.879   132.2    88.9  
177012  1770.962   102.3    93.9  
177101  1771.047    36.0    93.6  
177102  1771.128    46.2    89.0  
177103  1771.209    46.7    86.1  
177104  1771.292    64.9    85.4  
177105  1771.376   152.7    83.5  
177106  1771.459   119.5    81.9  
177107  1771.543    67.7    84.3  
177108  1771.628    58.5    88.9  
177109  1771.711   101.4    90.1  
177110  1771.795    90.0    90.5  
177111  1771.878    99.7    86.9  
177112  1771.962    95.7    79.5  
177201  1772.047   100.9    77.3  
177202  1772.129    90.8    77.6  
177203  1772.211    31.1    75.4  
177204  1772.294    92.2    72.8  
177205  1772.378    38.0    70.7  
177206  1772.461    57.0    67.8  
177207  1772.545    77.3    64.6  
