; Data as used in Davis et al. 2007 (astro-ph/0701510).
;
; This is the combined data from 
; Wood-Vasey et al. 2007 (astro-ph/0701041), Table 9 (passed)
; and  Riess et al. 2007 (astro-ph/0611572), Table 6 (Gold)
;
; When using this data please cite all three papers. 
;
; The data have been combined by normalizing to the 
; low-redshift supernovae they had in common.
; See http://www.dark-cosmology.dk/archive/SN for details. 
;
; Columns
; SN= supernova identifier
; z = redshift
; mu= distance modulus
; mu_err = error in distance modulus
;
;      SN         z       mu    mu_err
     b013    0.4260    41.98      0.23
     d033    0.5310    42.96      0.17
     d083    0.3330    40.71      0.14
     d084    0.5190    42.95      0.29
     d085    0.4010    41.96      0.22
     d086    0.2050    40.08      0.30
     d089    0.4360    42.05      0.20
     d093    0.3630    41.73      0.14
     d097    0.4360    42.10      0.17
     d117    0.3090    41.42      0.27
     d149    0.3420    41.63      0.21
     e020    0.1590    39.79      0.29
     e029    0.3320    41.51      0.28
     e108    0.4690    42.28      0.16
     e132    0.2390    40.42      0.29
     e136    0.3520    41.62      0.27
     e138    0.6120    42.99      0.18
     e140    0.6310    42.89      0.18
     e147    0.6450    43.01      0.18
     e148    0.4290    42.25      0.20
     e149    0.4970    42.23      0.26
     f011    0.5390    42.66      0.25
     f041    0.5610    42.72      0.17
     f231    0.6190    43.05      0.17
     f235    0.4220    41.78      0.24
     f244    0.5400    42.72      0.26
     g005    0.2180    40.37      0.26
     g050    0.6330    42.77      0.18
     g052    0.3830    41.56      0.22
     g055    0.3020    41.39      0.37
     g097    0.3400    41.56      0.31
     g120    0.5100    42.30      0.21
     g133    0.4210    42.22      0.33
     g142    0.3990    41.96      0.43
     g160    0.4930    42.38      0.26
     g240    0.6870    43.04      0.20
     h283    0.5020    42.49      0.37
     h300    0.6870    43.09      0.17
     h319    0.4950    42.40      0.21
     h323    0.6030    43.01      0.22
     h342    0.4210    42.18      0.16
     h359    0.3480    41.89      0.27
     h363    0.2130    40.33      0.33
     h364    0.3440    41.32      0.17
     k425    0.2740    41.12      0.28
     k429    0.1810    39.89      0.17
     k448    0.4010    42.34      0.40
     k485    0.4160    42.16      0.39
     m027    0.2860    41.53      0.32
     m158    0.4630    42.58      0.28
     m193    0.3410    41.29      0.23
     n256    0.6310    43.09      0.15
     n263    0.3680    41.56      0.17
     n278    0.3090    41.16      0.21
     n285    0.5280    42.63      0.26
     n326    0.2680    40.81      0.26
     n404    0.2160    40.59      0.31
     p454    0.6950    43.53      0.17
     p455    0.2840    41.10      0.29
     p524    0.5080    42.43      0.22
  sn1990O    0.0306    35.81      0.17
 sn1990af    0.0502    36.69      0.20
  sn1992P    0.0263    35.60      0.19
 sn1992ae    0.0748    37.72      0.21
 sn1992ag    0.0259    35.14      0.22
 sn1992aq    0.1009    38.80      0.15
 sn1992bc    0.0198    34.84      0.18
 sn1992bh    0.0451    36.91      0.19
 sn1992bl    0.0429    36.49      0.18
 sn1992bo    0.0181    34.73      0.21
 sn1992bp    0.0789    37.78      0.15
 sn1992br    0.0878    37.76      0.23
 sn1992bs    0.0634    37.64      0.20
  sn1993B    0.0707    37.78      0.19
  sn1993H    0.0248    35.10      0.18
  sn1993O    0.0519    37.12      0.15
 sn1993ag    0.0500    37.07      0.18
  sn1994M    0.0243    35.24      0.20
  sn1994S    0.0160    34.35      0.22
  sn1994T    0.0357    36.02      0.17
 sn1995ac    0.0488    36.57      0.16
 sn1995ak    0.0220    34.70      0.21
  sn1996C    0.0275    35.94      0.18
 sn1996ab    0.1242    38.90      0.20
 sn1996bl    0.0348    36.09      0.18
 sn1996bo    0.0163    33.98      0.24
  sn1997Y    0.0166    34.53      0.23
 sn1997dg    0.0297    36.15      0.19
  sn1998V    0.0172    34.36      0.22
 sn1998ab    0.0279    35.17      0.18
 sn1998dx    0.0537    36.92      0.15
 sn1998ef    0.0167    34.16      0.23
 sn1998eg    0.0235    35.32      0.20
 sn1999aw    0.0392    36.54      0.13
 sn1999cc    0.0315    35.82      0.17
 sn1999ek    0.0176    34.28      0.22
 sn1999gp    0.0260    35.62      0.16
 sn2000ca    0.0245    35.24      0.17
 sn2000cf    0.0365    36.36      0.17
 sn2000cn    0.0232    35.12      0.18
 sn2000dk    0.0164    34.37      0.22
 sn2000fa    0.0218    34.90      0.21
  sn2001V    0.0162    34.14      0.22
 sn2001ba    0.0305    35.88      0.16
 sn2001cz    0.0163    34.28      0.24
   03D1au    0.5043    42.55      0.18
   03D1aw    0.5817    43.12      0.21
   03D1ax    0.4960    42.33      0.20
   03D1bp    0.3460    41.50      0.25
   03D1co    0.6790    43.59      0.27
   03D1ew    0.8680    43.95      0.17
   03D1fc    0.3310    41.30      0.21
   03D1fl    0.6880    43.13      0.23
   03D1fq    0.8000    43.92      0.27
   03D3af    0.5320    42.84      0.29
   03D3aw    0.4490    42.07      0.24
   03D3ay    0.3709    41.80      0.23
   03D3ba    0.2912    40.56      0.32
   03D3cc    0.4627    42.25      0.17
   03D3cd    0.4607    42.12      0.18
   03D4ag    0.2850    40.98      0.13
   03D4at    0.6330    43.26      0.25
   03D4cn    0.8180    44.14      0.27
   03D4cx    0.9490    44.26      0.17
   03D4cz    0.6950    43.11      0.34
   03D4dh    0.6268    42.94      0.23
   03D4di    0.9050    43.84      0.16
   03D4dy    0.6040    42.79      0.32
   03D4fd    0.7910    43.75      0.21
   03D4gf    0.5810    42.85      0.18
   03D4gg    0.5920    42.87      0.25
   04D1aj    0.7210    43.46      0.23
   04D1ak    0.5260    42.49      0.29
   04D2fp    0.4150    42.06      0.17
